Dataset,Metric,Model,Value
Others,MASE,DLinear,4.953
Others,OWA,DLinear,1.487
Others,SMAPE,FEDformer,7.148
Others,MASE,FEDformer,4.041
Others,OWA,FEDformer,1.389
Others,SMAPE,Stationary,6.302
Others,MASE,Stationary,4.064
Others,OWA,Stationary,1.304
Others,SMAPE,Autoformer,5.485
Others,MASE,Autoformer,3.865
Others,OWA,Autoformer,1.187
Others,SMAPE,Informer,24.460
Others,MASE,Informer,20.960
Others,OWA,Informer,5.879
Others,SMAPE,Reformer,32.491
Others,MASE,Reformer,33.355
Others,OWA,Reformer,8.679
Average,SMAPE,RDTU,11.979
Average,MASE,RDTU,1.599
Average,OWA,RDTU,0.859
Average,SMAPE,Time-LLM,11.983
Average,MASE,Time-LLM,1.595
Average,OWA,Time-LLM,0.859
Average,SMAPE,GPT4TS,12.69
Average,MASE,GPT4TS,1.808
Average,OWA,GPT4TS,0.94
Average,SMAPE,TimesNet,12.88
Average,MASE,TimesNet,1.836
Average,OWA,TimesNet,0.955
Average,SMAPE,PatchTST,12.059
Average,MASE,PatchTST,1.623
Average,OWA,PatchTST,0.869
Average,SMAPE,N-HiTS,12.035
Average,MASE,N-HiTS,1.625
Average,OWA,N-HiTS,0.869
Average,SMAPE,N-BEATS,12.25
Average,MASE,N-BEATS,1.698
Average,OWA,N-BEATS,0.896
Average,SMAPE,ETSformer,14.718
Average,MASE,ETSformer,2.408
Average,OWA,ETSformer,1.172
Average,SMAPE,LightTS,13.525
Average,MASE,LightTS,2.111
Average,OWA,LightTS,1.051
Average,SMAPE,DLinear,13.639
Average,MASE,DLinear,2.095
Average,OWA,DLinear,1.051
Average,SMAPE,FEDformer,13.16
Average,MASE,FEDformer,1.775
Average,OWA,FEDformer,0.949
Average,SMAPE,Stationary,12.780
Average,MASE,Stationary,1.756
Average,OWA,Stationary,0.930
Average,SMAPE,Autoformer,12.909
Average,MASE,Autoformer,1.771
Average,OWA,Autoformer,0.939
Average,SMAPE,Informer,14.086
Average,MASE,Informer,2.718
Average,OWA,Informer,1.230
Average,SMAPE,Reformer,18.200
Average,MASE,Reformer,4.223
Average,OWA,Reformer,1.775
